iter	Passed	Remaining
652	1500	797
653	1502	794
654	1505	792
655	1507	790
656	1508	787
657	1510	785
658	1512	782
659	1514	780
660	1515	777
661	1517	774
662	1519	772
663	1522	770
664	1523	767
665	1525	765
666	1527	762
667	1529	759
668	1530	757
669	1532	754
670	1535	752
671	1537	750
672	1539	747
673	1541	745
674	1543	742
675	1545	740
676	1546	738
677	1549	736
678	1551	733
679	1553	731
680	1555	728
681	1557	726
682	1559	723
683	1561	721
684	1563	719
685	1565	716
686	1567	714
687	1569	711
688	1572	709
689	1573	707
690	1575	704
691	1578	702
692	1580	700
693	1582	697
694	1584	695
695	1585	692
696	1587	690
697	1589	687
698	1591	685
699	1594	683
700	1596	680
701	1598	678
702	1599	675
703	1601	673
704	1603	670
705	1605	668
706	1607	666
707	1610	664
708	1611	661
709	1613	659
710	1615	656
711	1617	654
712	1618	651
713	1620	649
714	1623	647
715	1625	644
716	1627	642
717	1628	639
718	1630	637
719	1632	634
720	1634	632
721	1636	630
722	1639	628
723	1640	625
724	1642	623
725	1644	620
726	1646	618
727	1648	615
728	1649	613
729	1653	611
730	1655	609
731	1656	606
732	1658	604
733	1660	601
734	1662	599
735	1663	596
736	1665	594
737	1668	592
738	1670	589
739	1672	587
740	1673	585
741	1675	582
742	1677	580
743	1679	577
744	1682	575
745	1684	573
746	1686	571
747	1688	568
748	1689	566
749	1691	563
750	1693	561
751	1695	559
752	1698	557
753	1699	554
754	1701	552
755	1703	549
756	1705	547
757	1706	544
758	1708	542
759	1710	540
760	1713	538
761	1715	535
762	1717	533
763	1718	530
764	1720	528
765	1722	526
766	1724	523
767	1727	521
768	1728	519
769	1730	516
770	1732	514
771	1734	512
772	1735	509
773	1737	507
774	1740	505
775	1742	503
776	1744	500
777	1746	498
778	1748	495
779	1750	493
780	1751	491
781	1753	488
782	1756	486
783	1758	484
784	1760	482
785	1761	479
786	1763	477
787	1765	474
788	1767	472
789	1769	470
790	1771	468
791	1773	465
792	1775	463
793	1777	461
794	1778	458
795	1780	456
796	1782	454
797	1785	451
798	1787	449
799	1788	447
800	1790	444
801	1792	442
802	1794	440
803	1796	438
804	1801	436
805	1802	433
806	1804	431
807	1806	429
808	1808	426
809	1810	424
810	1811	422
811	1813	419
812	1816	417
813	1818	415
814	1819	413
815	1821	410
816	1823	408
817	1825	406
818	1827	403
819	1830	401
820	1832	399
821	1833	397
822	1835	394
823	1837	392
824	1839	390
825	1841	387
826	1843	385
827	1845	383
828	1847	381
829	1849	378
830	1851	376
831	1853	374
832	1854	371
833	1856	369
834	1859	367
835	1861	365
836	1863	362
837	1865	360
838	1867	358
839	1868	355
840	1870	353
841	1872	351
842	1875	349
843	1877	346
844	1879	344
845	1881	342
846	1882	340
847	1884	337
848	1886	335
849	1889	333
850	1891	331
851	1894	329
852	1898	327
853	1900	324
854	1904	322
855	1906	320
856	1908	318
857	1910	316
858	1912	313
859	1913	311
860	1915	309
861	1917	307
862	1920	304
863	1922	302
864	1924	300
865	1926	298
866	1927	295
867	1929	293
868	1931	291
869	1934	289
870	1936	286
871	1937	284
872	1939	282
873	1941	279
874	1943	277
875	1944	275
876	1946	273
877	1949	270
878	1951	268
879	1953	266
880	1955	264
881	1956	261
882	1958	259
883	1960	257
884	1963	255
885	1965	252
886	1967	250
887	1968	248
888	1970	246
889	1972	243
890	1974	241
891	1976	239
892	1979	237
893	1981	234
894	1983	232
895	1984	230
896	1986	228
897	1988	225
898	1990	223
899	1993	221
900	1995	219
901	1997	216
902	1998	214
903	2000	212
904	2002	210
905	2004	207
906	2005	205
907	2008	203
908	2010	201
909	2012	199
910	2014	196
911	2015	194
912	2017	192
913	2019	190
914	2021	187
915	2024	185
916	2025	183
917	2027	181
918	2029	178
919	2031	176
920	2032	174
921	2034	172
922	2037	169
923	2039	167
924	2041	165
925	2043	163
926	2045	161
927	2047	158
928	2048	156
929	2050	154
930	2053	152
931	2055	149
932	2057	147
933	2059	145
934	2060	143
935	2062	141
936	2064	138
937	2067	136
938	2069	134
939	2071	132
940	2073	129
941	2075	127
942	2076	125
943	2078	123
944	2081	121
945	2083	118
946	2085	116
947	2087	114
948	2089	112
949	2090	110
950	2092	107
951	2094	105
952	2097	103
953	2099	101
954	2101	99
955	2103	96
956	2104	94
957	2106	92
958	2108	90
959	2110	87
960	2112	85
961	2114	83
962	2116	81
963	2118	79
964	2119	76
965	2121	74
966	2123	72
967	2126	70
968	2128	68
969	2130	65
970	2132	63
971	2134	61
972	2135	59
973	2137	57
974	2139	54
975	2142	52
976	2144	50
977	2146	48
978	2149	46
979	2152	43
980	2155	41
981	2159	39
982	2161	37
983	2163	35
984	2166	32
985	2168	30
986	2172	28
987	2174	26
988	2176	24
989	2178	22
990	2180	19
991	2182	17
992	2184	15
993	2186	13
994	2188	10
995	2190	8
996	2192	6
997	2194	4
998	2196	2
999	2197	0
